state,state_abbr,control,year,gender,race,num_of_students,num_grad_in_4,num_grad_in_6,perc_grad_in_4,perc_grad_in_6
Tennessee,TN,Private not-for-profit,2011,F,B,783,275,375,35.1,47.9
Tennessee,TN,Private not-for-profit,2011,F,H,185,103,127,55.7,68.6
Tennessee,TN,Private not-for-profit,2011,F,W,4256,2237,2672,52.6,62.8
Tennessee,TN,Private not-for-profit,2011,F,X,5681,2864,3470,50.4,61.1
Tennessee,TN,Private not-for-profit,2011,M,A,110,62,86,56.4,78.2
Tennessee,TN,Private not-for-profit,2011,M,Ai,16,7,7,43.8,43.8
Tennessee,TN,Private not-for-profit,2011,M,B,640,97,216,15.2,33.8
Tennessee,TN,Private not-for-profit,2011,M,H,131,49,64,37.4,48.9
Tennessee,TN,Private not-for-profit,2011,M,W,3316,1575,1983,47.5,59.8
Tennessee,TN,Private not-for-profit,2011,M,X,4549,1948,2550,42.8,56.1
Tennessee,TN,Private not-for-profit,2012,B,A,226,153,175,67.7,77.4
Tennessee,TN,Private not-for-profit,2012,B,Ai,38,17,20,44.7,52.6
Tennessee,TN,Private not-for-profit,2012,B,B,1429,402,601,28.1,42.1
Tennessee,TN,Private not-for-profit,2012,B,H,287,130,183,45.3,63.8
Tennessee,TN,Private not-for-profit,2012,B,W,7346,3624,4537,49.3,61.8
Tennessee,TN,Private not-for-profit,2012,B,X,10103,4722,5998,46.7,59.4
Tennessee,TN,Private not-for-profit,2012,F,A,133,90,102,67.7,76.7
Tennessee,TN,Private not-for-profit,2012,F,Ai,23,12,14,52.2,60.9
Tennessee,TN,Private not-for-profit,2012,F,B,760,288,392,37.9,51.6
Tennessee,TN,Private not-for-profit,2012,F,H,138,77,99,55.8,71.7
Tennessee,TN,Private not-for-profit,2012,F,W,4120,2186,2644,53.1,64.2
Tennessee,TN,Private not-for-profit,2012,F,X,5541,2863,3503,51.7,63.2
Tennessee,TN,Private not-for-profit,2012,M,A,93,63,73,67.7,78.5
Tennessee,TN,Private not-for-profit,2012,M,Ai,15,5,6,33.3,40
Tennessee,TN,Private not-for-profit,2012,M,B,669,114,209,17,31.2
Tennessee,TN,Private not-for-profit,2012,M,H,149,53,84,35.6,56.4
Tennessee,TN,Private not-for-profit,2012,M,W,3226,1438,1893,44.6,58.7
Tennessee,TN,Private not-for-profit,2012,M,X,4562,1859,2495,40.7,54.7
Tennessee,TN,Private not-for-profit,2013,B,A,271,158,210,58.3,77.5
Tennessee,TN,Private not-for-profit,2013,B,Ai,40,14,16,35,40
Tennessee,TN,Private not-for-profit,2013,B,B,1689,458,694,27.1,41.1
Tennessee,TN,Private not-for-profit,2013,B,H,314,149,194,47.5,61.8
Tennessee,TN,Private not-for-profit,2013,B,W,7485,3738,4681,49.9,62.5
Tennessee,TN,Private not-for-profit,2013,B,X,10583,4923,6277,46.5,59.3
Tennessee,TN,Private not-for-profit,2013,F,A,149,85,117,57,78.5
Tennessee,TN,Private not-for-profit,2013,F,Ai,23,12,12,52.2,52.2
Tennessee,TN,Private not-for-profit,2013,F,B,915,302,425,33,46.4
Tennessee,TN,Private not-for-profit,2013,F,H,174,90,113,51.7,64.9
Tennessee,TN,Private not-for-profit,2013,F,W,4241,2290,2790,54,65.8
Tennessee,TN,Private not-for-profit,2013,F,X,5866,2985,3694,50.9,63
Tennessee,TN,Private not-for-profit,2013,M,A,122,73,93,59.8,76.2
Tennessee,TN,Private not-for-profit,2013,M,Ai,17,2,4,11.8,23.5
Tennessee,TN,Private not-for-profit,2013,M,B,774,156,269,20.2,34.8
Tennessee,TN,Private not-for-profit,2013,M,H,140,59,81,42.1,57.9
Tennessee,TN,Private not-for-profit,2013,M,W,3244,1448,1891,44.6,58.3
Tennessee,TN,Private not-for-profit,2013,M,X,4717,1938,2583,41.1,54.8
Tennessee,TN,Public,2011,B,A,351,100,187,28.5,53.3
Tennessee,TN,Public,2011,B,Ai,65,13,28,20,43.1
Tennessee,TN,Public,2011,B,B,3469,392,1251,11.3,36.1
Tennessee,TN,Public,2011,B,H,286,42,121,14.7,42.3
Tennessee,TN,Public,2011,B,W,12860,3006,6492,23.4,50.5
Tennessee,TN,Public,2011,B,X,17469,3622,8258,20.7,47.3
Tennessee,TN,Public,2011,F,A,205,61,115,29.8,56.1
Tennessee,TN,Public,2011,F,Ai,32,8,17,25,53.1
Tennessee,TN,Public,2011,F,B,2221,278,838,12.5,37.7
Tennessee,TN,Public,2011,F,H,161,27,71,16.8,44.1
Tennessee,TN,Public,2011,F,W,6800,1882,3591,27.7,52.8
Tennessee,TN,Public,2011,F,X,9647,2305,4730,23.9,49
